Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D08-NF-R1	0	82.67	3) high quality Nayfach	98.12	3.09	62.5	Eubacteriales	order	0.8	Faecalibacterium prausnitzii L2-6	strain	0.395	548670	3.33	0.71	17	911060	3092	62	6	6	6	TRUE	TRUE	FALSE	TRUE	16	7	7	5	3	0	0	0	3326181	3322673	3106301	3106301	2762336	2045246	0	0	0	17	3326181	314155	3	5	0	c__Clostridia (UID1118)	387	223	124	3	212	8	0	0	0
D08-NF-R1	102	56.17	2) medium quality	76.32	4.03	37.5	Oscillospiraceae	family	0.674	Oscillospiraceae bacterium	species	0.492	47999	3.25	0.33	151	135941	3303	51	3	3	4	TRUE	TRUE	FALSE	FALSE	76	19	3	0	0	0	0	0	3250493	2944182	1465673	381876	0	0	0	0	0	151	3250493	23957	23	44	0	o__Clostridiales (UID1212)	172	263	149	52	203	8	0	0	0
D08-NF-R1	106	99.42	3) high quality Nayfach	99.42	0	0	[Ruminococcus] torques ATCC 27756	strain	1	[Ruminococcus] torques ATCC 27756	strain	1	1810265	2.96	0.57	2	1810265	2713	50	4	4	3	TRUE	TRUE	FALSE	TRUE	2	2	2	2	2	2	0	0	2955806	2955806	2955806	2955806	2955806	2955806	2955806	0	0	2	2955806	1145541	1	2	0	f__Lachnospiraceae (UID1256)	33	333	171	1	332	0	0	0	0
D08-NF-R1	109_sub	36.65	0) really bad	92.2	11.11	8.86	Dorea formicigenerans 4_6_53AFAA	strain	0.807	Dorea formicigenerans 4_6_53AFAA	strain	0.807	188474	3.32	0.51	65	382664	3570	68	6	5	5	FALSE	FALSE	FALSE	FALSE	43	15	10	3	0	0	0	0	3316401	3214535	2481029	2154910	953955	0	0	0	0	65	3316401	47997	7	16	0	f__Lachnospiraceae (UID1256)	33	333	171	20	276	27	4	5	1
D08-NF-R1	113	56.35	2) medium quality	66.4	2.01	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.797	Unclassified	Unclassified	0.797	64849	2.82	0.38	106	153983	2800	34	1	1	2	TRUE	TRUE	FALSE	FALSE	49	23	4	0	0	0	0	0	2824144	2602028	1860089	528817	0	0	0	0	0	106	2824144	42439	15	29	0	o__Clostridiales (UID1212)	172	263	149	67	194	1	1	0	0
D08-NF-R1	114	78.2	2) medium quality	84.9	1.34	50	Firmicutes bacterium CAG:83	species	1	Firmicutes bacterium CAG:83	species	1	123977	2	0.73	27	243756	1877	46	3	3	3	TRUE	TRUE	FALSE	FALSE	21	13	6	0	0	0	0	0	2001436	1973500	1703073	1122823	0	0	0	0	0	27	2001436	82630	6	11	0	o__Clostridiales (UID1212)	172	263	149	27	234	2	0	0	0
D08-NF-R1	115	41.39	2) medium quality	74.09	6.54	0	Firmicutes	phylum	0.676	Oscillospiraceae bacterium	species	0.322	55733	2.82	0.29	103	148536	3009	53	2	2	2	TRUE	TRUE	FALSE	FALSE	56	20	5	0	0	0	0	0	2820076	2609465	1632097	595801	0	0	0	0	0	103	2820076	33850	16	33	0	o__Clostridiales (UID1212)	172	263	149	62	190	10	1	0	0
D08-NF-R1	117	-3.62	0) really bad	97.28	20.18	79.07	Faecalibacterium prausnitzii L2-6	strain	0.974	Faecalibacterium prausnitzii L2-6	strain	0.974	341478	3.02	1.09	47	565506	2851	75	5	5	6	FALSE	FALSE	FALSE	FALSE	36	9	8	4	1	0	0	0	3018560	2966745	2325409	2248268	1659714	565506	0	0	0	47	3018560	77141	4	9	0	o__Clostridiales (UID1212)	172	261	147	4	218	37	2	0	0
D08-NF-R1	12	89.48	3) high quality Nayfach	99.98	2.1	0	Phascolarctobacterium faecium DSM 14760	strain	1	Phascolarctobacterium faecium DSM 14760	strain	1	2176703	2.41	0.42	2	2176703	2219	56	5	5	5	TRUE	TRUE	FALSE	TRUE	2	2	2	1	1	1	1	0	2410702	2410702	2410702	2410702	2176703	2176703	2176703	2176703	0	2	2410702	2176703	1	1	0	o__Selenomonadales (UID1024)	64	334	167	1	328	5	0	0	0
D08-NF-R1	123	99.46	3) high quality Nayfach	99.46	0	0	Odoribacter splanchnicus	species	1	Odoribacter splanchnicus DSM 20712	strain	0.625	1010608	4.37	2.14	7	1716656	3726	61	4	4	4	TRUE	TRUE	FALSE	TRUE	7	7	7	5	3	2	0	0	4365172	4365172	4365172	4365172	4036447	3228906	2727264	0	0	7	4365172	488011	2	4	0	k__Bacteria (UID2569)	434	278	186	1	277	0	0	0	0
D08-NF-R1	124	73.5	2) medium quality	84.25	2.15	50	Firmicutes bacterium CAG:114	species	1	Firmicutes bacterium CAG:114	species	1	96111	2.26	0.33	57	291833	2376	52	2	2	2	TRUE	TRUE	FALSE	FALSE	33	14	6	1	0	0	0	0	2262855	2179144	1706071	1102073	291833	0	0	0	0	57	2262855	52000	7	14	0	o__Clostridiales (UID1212)	172	257	149	41	212	4	0	0	0
D08-NF-R1	129	91.52	3) high quality Nayfach	91.52	0	0	Bilophila sp. 4_1_30	species	0.932	Bilophila sp. 4_1_30	species	0.932	55995	3.76	0.24	115	208013	3332	57	2	2	2	TRUE	TRUE	FALSE	TRUE	70	24	7	0	0	0	0	0	3761484	3566319	2066147	929789	0	0	0	0	0	115	3761484	39994	21	41	0	c__Deltaproteobacteria (UID3218)	61	284	169	35	249	0	0	0	0
D08-NF-R1	21	95.98	3) high quality Nayfach	99.33	0.67	0	Butyricicoccus	genus	0.814	Butyricicoccus sp. N15.MGS-46	species	0.586	619026	2.85	0.52	13	981224	2641	79	7	7	6	TRUE	TRUE	FALSE	TRUE	11	7	6	4	2	0	0	0	2847622	2843140	2737321	2667631	2318146	1600250	0	0	0	13	2847622	317611	2	4	0	o__Clostridiales (UID1212)	172	263	149	1	261	1	0	0	0
D08-NF-R1	27	99.33	2) medium quality	99.33	0	0	Clostridium sp. AF15-31	species	1	Clostridium sp. AF15-31	species	1	2792487	2.79	1.13	1	2792487	2387	0	4	4	0	TRUE	TRUE	FALSE	FALSE	1	1	1	1	1	1	1	0	2792487	2792487	2792487	2792487	2792487	2792487	2792487	2792487	0	1	2792487	2792487	1	1	0	o__Clostridiales (UID1212)	172	263	149	1	262	0	0	0	0
D08-NF-R1	29	29.48	0) really bad	98.88	13.88	68.25	Bacteroides uniformis	species	0.745	Bacteroides uniformis	species	0.745	1289954	5.45	4.19	11	1728622	4558	70	5	5	5	FALSE	FALSE	FALSE	FALSE	11	9	7	5	5	2	0	0	5454400	5454400	5399020	5287086	4997003	4997003	3018576	0	0	11	5454400	629972	2	4	0	o__Bacteroidales (UID2657)	160	492	269	3	426	63	0	0	0
D08-NF-R1	3	98.66	3) high quality Nayfach	98.66	0	0	Lachnospiraceae bacterium	species	0.999	Lachnospiraceae bacterium	species	0.999	3188954	3.19	1.22	2	3188954	2800	54	4	4	4	TRUE	TRUE	FALSE	TRUE	1	1	1	1	1	1	1	1	3192080	3188954	3188954	3188954	3188954	3188954	3188954	3188954	3188954	2	3192080	3188954	1	1	0	o__Clostridiales (UID1212)	172	263	149	3	260	0	0	0	0
D08-NF-R1	34_sub	91.95	3) high quality Nayfach	95.3	0.67	100	uncultured Clostridium sp.	species	0.857	uncultured Clostridium sp.	species	0.857	127924	2.78	0.34	53	349963	2777	53	4	4	4	TRUE	TRUE	FALSE	TRUE	35	19	11	1	0	0	0	0	2778624	2706174	2230529	1741165	349963	0	0	0	0	53	2778624	52497	8	17	0	o__Clostridiales (UID1212)	172	263	149	13	247	3	0	0	0
D08-NF-R1	50	80.42	2) medium quality	80.42	0	0	Clostridium sp. CAG:58	species	0.899	Clostridium sp. CAG:58	species	0.899	82096	2.6	0.44	60	235819	2631	60	5	5	4	TRUE	TRUE	FALSE	FALSE	43	22	4	0	0	0	0	0	2600137	2522744	1979768	621553	0	0	0	0	0	60	2600137	51977	12	22	0	o__Clostridiales (UID1226)	155	278	158	50	228	0	0	0	0
D08-NF-R1	51	85.65	2) medium quality	85.65	0	0	[Ruminococcus] lactaris	species	1	[Ruminococcus] lactaris CC59_002D	strain	0.512	275915	2.48	0.89	12	478320	2411	50	5	5	5	TRUE	TRUE	FALSE	FALSE	11	9	8	6	0	0	0	0	2482952	2474961	2419304	2320444	1947205	0	0	0	0	12	2482952	261941	4	6	0	f__Lachnospiraceae (UID1256)	33	333	171	48	285	0	0	0	0
D08-NF-R1	55	-147.32	0) really bad	97.63	48.99	80	Coprococcus catus	species	0.99	Coprococcus catus	species	0.99	71989	5.15	0.44	112	191195	5573	90	9	9	2	FALSE	FALSE	FALSE	FALSE	90	35	13	0	0	0	0	0	5147680	5030116	3334461	1813025	0	0	0	0	0	112	5147680	40000	22	47	0	o__Clostridiales (UID1212)	172	263	149	5	140	117	1	0	0
D08-NF-R1	58_sub	-142.32	0) really bad	70.18	42.5	64	Eubacteriales	order	0.674	Ruminococcus sp. CAG:60	species	0.176	40748	7.64	0.75	291	265040	8985	109	5	6	6	FALSE	FALSE	FALSE	FALSE	206	35	6	1	0	0	0	0	7644773	7172256	2838983	819145	265040	0	0	0	0	291	7644773	25338	58	116	0	k__Bacteria (UID203)	5449	103	57	22	52	12	13	4	0
D08-NF-R1	6	98.12	3) high quality Nayfach	98.12	0	0	Sutterella sp. AM18-8-1	species	0.774	Sutterella sp. AM18-8-1	species	0.774	1988495	2.79	0.46	9	1988495	2491	54	6	6	6	TRUE	TRUE	FALSE	TRUE	6	5	3	3	1	1	0	0	2790183	2772975	2746501	2616719	2616719	1988495	1988495	0	0	9	2790183	332108	1	2	0	p__Proteobacteria (UID3887)	1487	256	160	3	253	0	0	0	0
D08-NF-R1	60	76.97	2) medium quality	99.52	4.51	0	Lachnospiraceae bacterium	species	0.989	Lachnospiraceae bacterium	species	0.989	1018416	4.11	2.23	6	1618286	3969	66	4	4	0	TRUE	TRUE	FALSE	FALSE	6	5	5	4	4	2	0	0	4109630	4109630	4062531	4062531	3854429	3854429	2636702	0	0	6	4109630	700648	2	3	0	f__Lachnospiraceae (UID1286)	57	420	207	1	406	13	0	0	0
D08-NF-R1	63_sub	67.66	2) medium quality	68.61	0.19	0	Bacteroides eggerthii DSM 20697	strain	1	Bacteroides eggerthii DSM 20697	strain	1	648629	3.03	16.63	5	1115281	2572	46	3	3	3	TRUE	TRUE	FALSE	FALSE	5	5	5	5	3	1	0	0	3025103	3025103	3025103	3025103	3025103	2364307	1115281	0	0	5	3025103	600397	2	3	0	o__Bacteroidales (UID2657)	160	492	269	176	315	1	0	0	0
D08-NF-R1	66_sub	27.96	2) medium quality	68.86	8.18	33.33	Cryptobacterium sp. CAG:338	species	0.85	Cryptobacterium sp. CAG:338	species	0.85	41852	1.49	0.13	82	145974	1641	33	0	0	0	TRUE	TRUE	FALSE	FALSE	34	7	1	0	0	0	0	0	1487291	1316325	562534	145974	0	0	0	0	0	82	1487291	23969	11	24	0	p__Actinobacteria (UID2112)	31	211	124	54	142	15	0	0	0
D08-NF-R1	76	98.66	2) medium quality	98.66	0	0	Clostridium sp. CAG:62	species	1	Clostridium sp. CAG:62	species	1	2941142	2.94	1.14	1	2941142	2672	0	3	3	3	TRUE	TRUE	FALSE	FALSE	1	1	1	1	1	1	1	0	2941142	2941142	2941142	2941142	2941142	2941142	2941142	2941142	0	1	2941142	2941142	1	1	0	o__Clostridiales (UID1212)	172	263	149	3	260	0	0	0	0
D08-NF-R1	82	88.17	3) high quality Nayfach	92.62	0.89	0	Clostridium sp. CAG:169	species	0.992	Clostridium sp. CAG:169	species	0.992	117078	2.15	0.34	49	524000	2177	55	3	3	3	TRUE	TRUE	FALSE	TRUE	28	11	5	1	1	0	0	0	2146972	2068473	1583547	1152768	524000	524000	0	0	0	49	2146972	49981	5	12	0	o__Clostridiales (UID1212)	172	263	149	14	247	2	0	0	0
